"selection1_name","selection1_url","selection1_price"
"NEW - 1999 Bunny Rabbit & Toast Clip-On Plush - TELETUBBIES - Burger King Toy","https://www.ebay.com/itm/NEW-1999-Bunny-Rabbit-Toast-Clip-On-Plush-TELETUBBIES-Burger-King-Toy/383248070345?hash=item593b5d76c9:g:ZTIAAOSwNhNdvurS:sc:USPSFirstClass!14221!US!-1","$4.99"
"New ListingVintage 1998 9"" Lot of 2 Teletubbie Plush Dolls Dipsy Green Tinky Winky Purple","https://www.ebay.com/itm/Vintage-1998-9-Lot-of-2-Teletubbie-Plush-Dolls-Dipsy-Green-Tinky-Winky-Purple/254411432645?hash=item3b3c1a62c5:g:TswAAOSw7iZdsnRu","$10.00"
"Lot 4 pcs Teletubbies Laa-Laa Po Tinky Winky Dipsy Soft Plush Toy Doll 11 inch","https://www.ebay.com/itm/Lot-4-pcs-Teletubbies-Laa-Laa-Po-Tinky-Winky-Dipsy-Soft-Plush-Toy-Doll-11-inch/163468926438?epid=543362362&hash=item260f81dde6:g:8MIAAOSwFSNcMCOH","$19.50"
"EDEN TELETUBBIES PURPLE TINKY WINKY 8"" PLUSH BEANIE 1998","https://www.ebay.com/itm/EDEN-TELETUBBIES-PURPLE-TINKY-WINKY-8-PLUSH-BEANIE-1998/383211696071?hash=item5939326fc7:g:wdoAAOSwQXZdpPge","$5.00"
"Dipsy Green and Po Red Teletubbies Back pack Finger Puppets Charm Plush Toy","https://www.ebay.com/itm/Dipsy-Green-and-Po-Red-Teletubbies-Back-pack-Finger-Puppets-Charm-Plush-Toy/283597915634?_trkparms=ispr%3D1&hash=item4207c0c5f2:g:3IkAAOSwRgJXlySK&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qVQRap2eluUY4Vk7ug9RSuHOs9anR%2BiUXpPYjsdYx5ZZBymcEy8nQoYa38YmUC0r%2F5GgDNdtvBbSR1EMl3%2BuVPEfxNA6GdTFnmcZAu7O2OMWdi26GiOnJI6cP8CKyDzyDV%2BhtSNh8CjTe%2BzDpbP0t6kU9wsptQPj6hhRWVSWUCjEvjFvnQzrqpr0aXAPflEqVsupJokhhcxSO75puNdadSsqu%2FWEcXDqZuiNT8u22%2FEbW0nfiGMi7wCFMvBTYSPvXJfMzr364g6wjqM54TfxjZMqotVIQ6EOnDEDjaqwiWIyziOLC2mGC1H328VsREV5D1mFAJyphIQyVH5d6YZw5dgiLs5JOW0qLGNuCND3wbS6l7jnpePdcoVExiC2%2FlczV4jvHpcwtw9ts6QeD8jMyJHQNWzs5YFf5iJCYznlP%2F7HeZNNKalTvvBNhcvRn82zBXf9zn%2BW7D1ikqE7Rm9vHymUeWM%2Fnz5SGFhQ6noMtxsCWUEAsteMcZ5MA9qz2bdxylBMMYcgQ6b9PMNWjfXTijZDiv8L5xor8Y%2FGoxZpEnK%2BkRYbyXsOxitCBp3NhO4OdktRKZTBlY7Vcz7o%2B9QwAbGaXQa7GxTci7VYl0e6taxcCvS6gtVmMTP42cqL%2B7tMdDQ%2BQBA4ysoDdvglJjZz1aS11EIEg%2BGXXZvEymdwT3n5KpSP1emtvWUT6LPR2N5xvpwVftl41mlth8xgiPCM9Jl2d1jwjqxSWG1OB6Fw%2FMBKMKSGq3OAk8S9djaGToal2Y%3D&checksum=283597915634ade2d18d2b9a43d69f5b6048065471a8&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qVQRap2eluUY4Vk7ug9RSuHOs9anR%2BiUXpPYjsdYx5ZZBymcEy8nQoYa38YmUC0r%2F5GgDNdtvBbSR1EMl3%2BuVPEfxNA6GdTFnmcZAu7O2OMWdi26GiOnJI6cP8CKyDzyDV%2BhtSNh8CjTe%2BzDpbP0t6kU9wsptQPj6hhRWVSWUCjEvjFvnQzrqpr0aXAPflEqVsupJokhhcxSO75puNdadSsqu%2FWEcXDqZuiNT8u22%2FEbW0nfiGMi7wCFMvBTYSPvXJfMzr364g6wjqM54TfxjZMqotVIQ6EOnDEDjaqwiWIyziOLC2mGC1H328VsREV5D1mFAJyphIQyVH5d6YZw5dgiLs5JOW0qLGNuCND3wbS6l7jnpePdcoVExiC2%2FlczV4jvHpcwtw9ts6QeD8jMyJHQNWzs5YFf5iJCYznlP%2F7HeZNNKalTvvBNhcvRn82zBXf9zn%2BW7D1ikqE7Rm9vHymUeWM%2Fnz5SGFhQ6noMtxsCWUEAsteMcZ5MA9qz2bdxylBMMYcgQ6b9PMNWjfXTijZDiv8L5xor8Y%2FGoxZpEnK%2BkRYbyXsOxitCBp3NhO4OdktRKZTBlY7Vcz7o%2B9QwAbGaXQa7GxTci7VYl0e6taxcCvS6gtVmMTP42cqL%2B7tMdDQ%2BQBA4ysoDdvglJjZz1aS11EIEg%2BGXXZvEymdwT3n5KpSP1emtvWUT6LPR2N5xvpwVftl41mlth8xgiPCM9Jl2d1jwjqxSWG1OB6Fw%2FMBKMKSGq3OAk8S9djaGToal2Y%3D&checksum=283597915634ade2d18d2b9a43d69f5b6048065471a8","$10.45"
"Lot of 2 Teletubbies Po and Las Laa Talking Plush Toys Stuffed Tested Work TV )","https://www.ebay.com/itm/Lot-of-2-Teletubbies-Po-and-Las-Laa-Talking-Plush-Toys-Stuffed-Tested-Work-TV/392467597247?_trkparms=ispr%3D1&hash=item5b60e447bf:g:2B0AAOSwWV1dcbd-&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qVwhIcMw8g%2BExSpI%2BUrJwkFLBZXK7bvN%2FwKKvEH9yZql9wynbdsSm%2BveYspkf0JZLWG%2BCI3RToOl%2BJk1hhTMpky%2BbinPLwZID6qVcqDHi8XbnvRNFhuL9JSo7zIlWya8aHqQd%2FyqzGCndtURMobWDzVK1vqXj0clrjewZVBuIK4J68oC9cPK1gYLLSBTr8HlfgZUsJyoI%2FzKd7FUOjSjBhJftmB%2BuwpeI0fycqAtpqUlf07kCRwPTDLTNDQf72qF4kH0PI0V23oUmZhJuEXAsswdHO2TTUYRTQ%2BhxgRsH%2FUry95u0MZxdfRFlN7t3Qh0QDrxsmkf1b9bUth5Mw0Y8Pb8kiVebUIRMI%2BJHqGFDl9hOJMCiMlg9mABj7ALCx9bWLRc%2Fa0JGAUtBH94yPR%2FBJ6TMQ2nMoAuroE4%2FfPgKwpWIATZJMpFu614kcwhrRoLxZAqG6%2FhBXFqUmOY%2F8B0LIsSIE7em40XVWVIhG%2FQ%2BlAPJDaH%2BUd9jclNxAegu8V7YPQwkWyJv0gua1decU2g%2Fk2uUkbqK1nuwHYu%2BEvj4cnZKC9aH7bCMkBUp1d33Uq0g7%2FL9Gsof90pWem8x4IYBGNAdEY7m69UatfcjA7NBkQspt3ImRfg44bcVNPbsxWxiacTIlwaiVscClUXkkz8K%2FuK8KHS0UYmTzLddn0YOY2B3Zz4QGf%2F80hGscFOVTVd1Dw10sb8Lr2wtmFrUTQjoH7sl8yQP%2F2DXk5Tf%2FQb2sf0DyiQfV2JibZFXs6vNl0log%3D&checksum=392467597247ade2d18d2b9a43d69f5b6048065471a8&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qVwhIcMw8g%2BExSpI%2BUrJwkFLBZXK7bvN%2FwKKvEH9yZql9wynbdsSm%2BveYspkf0JZLWG%2BCI3RToOl%2BJk1hhTMpky%2BbinPLwZID6qVcqDHi8XbnvRNFhuL9JSo7zIlWya8aHqQd%2FyqzGCndtURMobWDzVK1vqXj0clrjewZVBuIK4J68oC9cPK1gYLLSBTr8HlfgZUsJyoI%2FzKd7FUOjSjBhJftmB%2BuwpeI0fycqAtpqUlf07kCRwPTDLTNDQf72qF4kH0PI0V23oUmZhJuEXAsswdHO2TTUYRTQ%2BhxgRsH%2FUry95u0MZxdfRFlN7t3Qh0QDrxsmkf1b9bUth5Mw0Y8Pb8kiVebUIRMI%2BJHqGFDl9hOJMCiMlg9mABj7ALCx9bWLRc%2Fa0JGAUtBH94yPR%2FBJ6TMQ2nMoAuroE4%2FfPgKwpWIATZJMpFu614kcwhrRoLxZAqG6%2FhBXFqUmOY%2F8B0LIsSIE7em40XVWVIhG%2FQ%2BlAPJDaH%2BUd9jclNxAegu8V7YPQwkWyJv0gua1decU2g%2Fk2uUkbqK1nuwHYu%2BEvj4cnZKC9aH7bCMkBUp1d33Uq0g7%2FL9Gsof90pWem8x4IYBGNAdEY7m69UatfcjA7NBkQspt3ImRfg44bcVNPbsxWxiacTIlwaiVscClUXkkz8K%2FuK8KHS0UYmTzLddn0YOY2B3Zz4QGf%2F80hGscFOVTVd1Dw10sb8Lr2wtmFrUTQjoH7sl8yQP%2F2DXk5Tf%2FQb2sf0DyiQfV2JibZFXs6vNl0log%3D&checksum=392467597247ade2d18d2b9a43d69f5b6048065471a8","$23.74"
"Vintage Teletubbies PBS Po Plush Keychain Ragdoll 1998 4 Inch Red New W Tags","https://www.ebay.com/itm/Vintage-Teletubbies-PBS-Po-Plush-Keychain-Ragdoll-1998-4-Inch-Red-New-W-Tags/223727015517?hash=item34172b565d:g:iz0AAOSwVTlduNSv","$12.34"
"Teletubbies Dipsy Green Sitting 7"" Plush Spin Master 2016","https://www.ebay.com/itm/Teletubbies-Dipsy-Green-Sitting-7-Plush-Spin-Master-2016/123892310028?hash=item1cd88ea00c:g:SHwAAOSwbdldadym","$11.95"
"TELETUBBIES TALKING PLUSH SOFT TOY - PO, LAA LAA, TINKY WINKY DIPSY NEW","https://www.ebay.com/itm/TELETUBBIES-TALKING-PLUSH-SOFT-TOY-PO-LAA-LAA-TINKY-WINKY-DIPSY-NEW/391689029633?epid=2255631852&hash=item5b327c4801:m:mZsJkTYQEb9KTCLXTeUqTgA","$16.82"
"Hasbro 1998 Playskool Teletubbies Plush Purple Talking Tinky Winky Stuffed Toy","https://www.ebay.com/itm/Hasbro-1998-Playskool-Teletubbies-Plush-Purple-Talking-Tinky-Winky-Stuffed-Toy/202794675747?hash=item2f37812e23:g:hYcAAOSwGC9dPKAp","$9.99"
